month,year,fatality
January,2003,419
January,2004,421
January,2005,496
January,2006,453
January,2007,464
January,2008,455
January,2009,385
January,2010,372
January,2011,337
January,2012,350
January,2013,381
January,2014,391
January,2015,419
January,2016,383
January,2017,396
February,2003,382
February,2004,417
February,2005,382
February,2006,412
February,2007,446
February,2008,396
February,2009,330
February,2010,282
February,2011,275
February,2012,296
February,2013,284
February,2014,331
February,2015,335
February,2016,371
February,2017,372
March,2003,431
March,2004,454
March,2005,420
March,2006,451
March,2007,434
March,2008,422
March,2009,359
March,2010,344
March,2011,347
March,2012,393
March,2013,338
March,2014,325
March,2015,356
March,2016,418
March,2017,354
April,2003,452
April,2004,452
April,2005,440
April,2006,466
April,2007,395
April,2008,450
April,2009,361
April,2010,398
April,2011,362
April,2012,332
April,2013,385
April,2014,371
April,2015,412
April,2016,415
April,2017,431
May,2003,436
May,2004,449
May,2005,469
May,2006,482
May,2007,427
May,2008,466
May,2009,389
May,2010,389
May,2011,427
May,2012,386
May,2013,369
May,2014,427
May,2015,412
May,2016,408
May,2017,437
June,2003,491
June,2004,510
June,2005,532
June,2006,527
June,2007,544
June,2008,490
June,2009,441
June,2010,428
June,2011,456
June,2012,433
June,2013,444
June,2014,462
June,2015,443
June,2016,483
June,2017,453
July,2003,557
July,2004,567
July,2005,556
July,2006,592
July,2007,564
July,2008,482
July,2009,454
July,2010,459
July,2011,469
July,2012,431
July,2013,425
July,2014,476
July,2015,471
July,2016,516
July,2017,497
August,2003,544
August,2004,544
August,2005,558
August,2006,610
August,2007,600
August,2008,423
August,2009,400
August,2010,509
August,2011,499
August,2012,477
August,2013,445
August,2014,452
August,2015,455
August,2016,513
August,2017,489
September,2003,470
September,2004,568
September,2005,478
September,2006,473
September,2007,436
September,2008,492
September,2009,379
September,2010,412
September,2011,421
September,2012,436
September,2013,410
September,2014,413
September,2015,384
September,2016,462
September,2017,461
October,2003,540
October,2004,541
October,2005,513
October,2006,520
October,2007,521
October,2008,420
October,2009,383
October,2010,402
October,2011,412
October,2012,404
October,2013,414
October,2014,414
October,2015,413
October,2016,455
October,2017,464
November,2003,453
November,2004,400
November,2005,463
November,2006,447
November,2007,437
November,2008,361
November,2009,350
November,2010,345
November,2011,337
November,2012,359
November,2013,374
November,2014,398
November,2015,378
November,2016,390
November,2017,398
December,2003,400
December,2004,441
December,2005,427
December,2006,407
December,2007,389
December,2008,357
December,2009,320
December,2010,350
December,2011,351
December,2012,331
December,2013,316
December,2014,361
December,2015,358
December,2016,376
December,2017,395
